citizen_id,archetype,age_group,age_mid,walking_speed_kmh,heat_tolerance,rain_tolerance,crowd_tolerance,green_preference,transit_preference
C00688,Student,18-24,21,4.54,0.572,0.168,0.145,0.992,0.041
C00689,Outdoor worker,18-24,21,5.01,0.941,0.433,0.871,0.411,0.117
C00690,Student,18-24,21,5.36,0.545,0.298,0.219,0.837,0.026
C00691,Transit-dependent citizen,Under 18,16,5.17,0.662,0.99,0.216,0.978,0.74
C00692,Outdoor worker,18-24,21,5.99,0.728,0.785,0.798,0.584,0.383
C00693,Student,18-24,21,6.51,0.577,0.261,0.75,0.984,0.39
C00694,Family / parent,35-44,39,5.8,0.554,0.988,0.244,0.87,0.296
C00695,Elderly citizen,60+,66,6.33,0.562,0.944,0.22,0.999,0.046
C00696,Student,Under 18,16,4.08,0.376,0.045,0.268,0.868,0.047
C00697,Transit-dependent citizen,Under 18,16,3.84,0.877,0.886,0.519,0.864,0.627
C00698,Transit-dependent citizen,Under 18,16,6.33,0.97,0.975,0.266,0.533,0.607
C00699,Transit-dependent citizen,45-59,52,4.48,0.518,0.86,0.199,0.868,0.803
C00700,Family / parent,25-34,29,5.42,0.225,0.958,0.153,0.986,0.244
C00701,Outdoor worker,Under 18,16,5.66,0.799,0.98,0.402,0.615,0.191
C00702,Outdoor worker,18-24,21,5.32,0.741,0.981,0.705,0.818,0.008
C00703,Student,18-24,21,4.71,0.479,0.999,0.135,0.988,0.031
C00704,Student,Under 18,16,4.61,0.533,0.447,0.781,0.92,0.325
C00705,Transit-dependent citizen,45-59,52,4.96,0.447,0.499,0.578,0.866,0.784
C00706,Elderly citizen,60+,66,5.7,0.01,0.247,0.685,0.615,0.021
C00707,Transit-dependent citizen,18-24,21,5.67,0.405,0.985,0.446,0.21,0.862
C00708,Transit-dependent citizen,18-24,21,6.0,0.047,0.804,0.463,0.943,0.747
C00709,Student,18-24,21,5.12,0.077,0.612,0.292,0.927,0.004
C00710,Student,18-24,21,4.89,0.104,0.43,0.408,0.953,0.014
C00711,Mobility-limited citizen,18-24,21,3.54,0.508,0.138,0.622,0.784,0.733
C00712,Family / parent,45-59,52,5.39,0.718,0.984,0.348,0.919,0.053
C00713,Elderly citizen,60+,66,4.14,0.215,0.039,0.298,0.937,0.143
C00714,Student,18-24,21,5.86,0.085,0.908,0.425,0.729,0.058
C00715,Student,18-24,21,6.82,0.156,0.733,0.255,0.887,0.013
C00716,Family / parent,25-34,29,6.67,0.222,0.753,0.409,0.975,0.503
C00717,Student,18-24,21,4.91,0.607,0.818,0.448,0.721,0.424
C00718,Student,18-24,21,5.13,0.459,0.268,0.59,0.777,0.206
C00719,General pedestrian,35-44,39,7.1,0.676,0.256,0.692,0.661,0.369
C00720,Student,18-24,21,4.49,0.431,0.504,0.547,0.803,0.568
C00721,Transit-dependent citizen,18-24,21,5.69,0.939,0.42,0.844,0.573,0.733
C00722,Student,Under 18,16,5.66,0.439,0.461,0.536,0.755,0.061
C00723,Student,Under 18,16,6.52,0.234,0.243,0.838,0.487,0.547
C00724,Elderly citizen,60+,66,5.23,0.518,0.908,0.619,0.671,0.509
C00725,Family / parent,45-59,52,5.73,0.562,0.995,0.095,0.994,0.106
C00726,Student,18-24,21,5.82,0.34,0.161,0.39,0.778,0.015
C00727,Outdoor worker,18-24,21,5.75,0.885,0.518,0.677,0.614,0.383
C00728,Family / parent,25-34,29,7.2,0.649,0.807,0.158,0.89,0.011
C00729,Student,18-24,21,7.04,0.124,0.988,0.617,0.663,0.094
C00730,Outdoor worker,18-24,21,4.97,0.861,0.963,0.237,0.9,0.275
C00731,Student,18-24,21,7.2,0.696,0.6,0.351,0.609,0.02
C00732,Outdoor worker,18-24,21,7.04,0.83,0.279,0.622,0.911,0.062
C00733,Student,18-24,21,4.32,0.669,0.966,0.407,0.977,0.513
C00734,Student,18-24,21,5.28,0.537,0.937,0.627,0.952,0.013
C00735,Outdoor worker,18-24,21,6.67,0.83,0.729,0.431,0.947,0.392
C00736,Outdoor worker,Under 18,16,6.06,0.776,0.9,0.447,0.905,0.331
C00737,Student,18-24,21,7.2,0.52,0.995,0.484,0.932,0.051
C00738,Transit-dependent citizen,Under 18,16,7.14,0.896,0.299,0.731,0.837,0.701
C00739,Student,18-24,21,4.37,0.684,0.424,0.305,0.54,0.1
C00740,Outdoor worker,18-24,21,6.29,0.888,0.945,0.311,0.253,0.013
C00741,Family / parent,35-44,39,5.07,0.642,0.926,0.142,0.904,0.511
C00742,Outdoor worker,25-34,29,7.2,0.781,0.454,0.285,0.565,0.046
C00743,Student,Under 18,16,7.14,0.241,0.962,0.255,0.849,0.188
C00744,Student,18-24,21,6.78,0.175,0.964,0.31,0.878,0.161
C00745,Elderly citizen,60+,66,5.76,0.318,0.009,0.848,0.366,0.013
C00746,Family / parent,25-34,29,6.39,0.403,0.439,0.701,0.903,0.029
C00747,Student,18-24,21,5.89,0.114,0.763,0.205,0.972,0.007
C00748,Student,18-24,21,4.66,0.536,0.24,0.781,0.813,0.04
C00749,Student,18-24,21,5.45,0.167,0.743,0.182,0.972,0.021
C00750,Outdoor worker,18-24,21,4.82,0.829,0.783,0.126,0.984,0.0
C00751,Student,18-24,21,4.05,0.296,0.92,0.278,0.982,0.01
C00752,Mobility-limited citizen,18-24,21,3.33,0.146,0.726,0.069,0.909,0.318
C00753,Transit-dependent citizen,18-24,21,7.2,0.245,0.225,0.417,0.839,0.885
C00754,Transit-dependent citizen,18-24,21,7.18,0.756,0.236,0.458,0.784,0.958
C00755,Mobility-limited citizen,18-24,21,3.1,0.174,0.843,0.221,0.992,0.215
C00756,Outdoor worker,18-24,21,4.48,0.825,0.68,0.614,0.549,0.137
C00757,Mobility-limited citizen,18-24,21,3.47,0.027,0.928,0.111,0.97,0.193
C00758,Student,18-24,21,4.0,0.093,0.883,0.139,0.963,0.586
C00759,Outdoor worker,18-24,21,5.87,0.878,0.904,0.865,0.304,0.551
C00760,Transit-dependent citizen,25-34,29,6.39,0.618,0.989,0.449,0.894,0.885
C00761,Student,18-24,21,4.43,0.222,0.067,0.507,0.317,0.496
C00762,Outdoor worker,35-44,39,6.19,0.934,0.502,0.911,0.382,0.034
C00763,Elderly citizen,60+,66,6.17,0.594,0.947,0.155,0.929,0.093
C00764,General pedestrian,45-59,52,5.05,0.318,0.983,0.291,0.591,0.194
C00765,Transit-dependent citizen,18-24,21,5.96,0.634,0.362,0.821,0.871,0.888
C00766,Student,18-24,21,7.2,0.451,0.926,0.525,0.986,0.215
C00767,Transit-dependent citizen,18-24,21,6.33,0.335,0.959,0.283,0.86,0.97
C00768,Elderly citizen,60+,66,3.37,0.281,0.763,0.148,0.991,0.392
C00769,Elderly citizen,60+,66,4.53,0.614,0.192,0.489,0.93,0.016
C00770,Outdoor worker,Under 18,16,5.92,0.875,0.813,0.219,0.874,0.043
C00771,Outdoor worker,35-44,39,7.2,0.842,0.992,0.373,0.576,0.393
C00772,Student,18-24,21,7.2,0.363,0.802,0.518,0.747,0.006
C00773,Student,18-24,21,5.81,0.173,0.968,0.293,0.849,0.036
C00774,Student,18-24,21,5.58,0.058,0.408,0.134,0.88,0.03
C00775,Student,18-24,21,5.59,0.472,0.587,0.606,0.419,0.008
C00776,Family / parent,45-59,52,5.51,0.5,0.173,0.523,0.93,0.153
C00777,Transit-dependent citizen,45-59,52,5.58,0.862,0.002,0.769,0.445,0.984
C00778,Elderly citizen,60+,66,4.66,0.399,0.997,0.193,0.503,0.203
C00779,Student,18-24,21,4.94,0.057,0.94,0.164,0.867,0.129
C00780,Student,18-24,21,6.48,0.404,0.417,0.425,0.961,0.161
C00781,Student,18-24,21,4.01,0.451,0.02,0.286,0.652,0.168
C00782,Outdoor worker,18-24,21,6.43,0.825,0.99,0.27,0.963,0.366
C00783,Transit-dependent citizen,18-24,21,5.89,0.751,0.229,0.531,0.585,0.947
C00784,Student,18-24,21,6.83,0.171,0.736,0.634,0.775,0.007
C00785,Elderly citizen,60+,66,3.91,0.373,0.99,0.23,0.969,0.233
C00786,Transit-dependent citizen,18-24,21,4.14,0.023,0.903,0.161,0.814,0.832
C00787,Student,18-24,21,4.36,0.114,0.281,0.423,0.93,0.028
C00788,Student,18-24,21,4.42,0.311,0.983,0.304,0.988,0.034
C00789,Student,18-24,21,6.31,0.312,0.988,0.739,0.699,0.155
C00790,Transit-dependent citizen,18-24,21,7.2,0.543,0.967,0.426,0.482,0.619
C00791,Outdoor worker,45-59,52,4.36,0.738,0.934,0.304,0.769,0.064
C00792,Student,18-24,21,6.97,0.209,0.911,0.28,0.721,0.226
C00793,Transit-dependent citizen,18-24,21,5.24,0.682,0.966,0.401,0.7,0.887
C00794,Student,18-24,21,3.91,0.44,0.255,0.277,0.748,0.01
C00795,Student,18-24,21,5.31,0.4,0.957,0.083,0.914,0.261
C00796,Transit-dependent citizen,Under 18,16,5.83,0.549,0.98,0.58,0.636,0.922
C00797,Student,18-24,21,4.66,0.499,0.294,0.16,0.985,0.591
C00798,Outdoor worker,18-24,21,5.29,0.879,0.219,0.744,0.867,0.398
C00799,Elderly citizen,60+,66,6.95,0.685,0.294,0.664,0.07,0.105
C00800,Outdoor worker,18-24,21,7.2,0.984,0.984,0.407,0.787,0.269
C00801,Student,18-24,21,6.34,0.666,0.075,0.702,0.847,0.097
C00802,Outdoor worker,18-24,21,7.2,0.824,0.357,0.788,0.625,0.048
C00803,General pedestrian,45-59,52,3.62,0.391,0.544,0.588,0.586,0.132
C00804,Student,18-24,21,6.77,0.391,0.325,0.453,0.996,0.051
C00805,Outdoor worker,18-24,21,6.78,0.731,0.595,0.228,0.723,0.034
C00806,Student,Under 18,16,4.44,0.151,0.813,0.218,0.879,0.15
C00807,General pedestrian,45-59,52,6.18,0.27,0.884,0.531,0.493,0.03
C00808,Student,18-24,21,3.79,0.271,0.932,0.221,0.719,0.378
C00809,Outdoor worker,45-59,52,4.37,0.919,0.156,0.257,0.665,0.02
C00810,Student,Under 18,16,7.14,0.03,0.768,0.5,0.271,0.262
C00811,Outdoor worker,18-24,21,6.57,0.938,0.55,0.346,0.882,0.015
C00812,Student,18-24,21,4.57,0.596,0.023,0.493,0.983,0.035
C00813,Outdoor worker,45-59,52,4.38,0.91,0.818,0.424,0.75,0.028
C00814,Mobility-limited citizen,18-24,21,3.54,0.767,0.964,0.501,0.389,0.151
C00815,Transit-dependent citizen,18-24,21,6.11,0.797,0.703,0.549,0.651,0.704
C00816,Family / parent,35-44,39,4.32,0.643,0.127,0.379,0.851,0.151
C00817,Transit-dependent citizen,18-24,21,5.37,0.32,1.0,0.101,0.937,0.73
C00818,Outdoor worker,Under 18,16,5.57,0.863,0.375,0.411,0.975,0.048
C00819,Student,18-24,21,4.46,0.127,0.032,0.315,0.985,0.049
C00820,Student,Under 18,16,4.49,0.703,0.114,0.473,0.924,0.071
C00821,Student,18-24,21,5.3,0.322,0.492,0.591,0.85,0.133
C00822,Transit-dependent citizen,Under 18,16,5.19,0.567,0.879,0.46,0.836,0.913
C00823,Student,18-24,21,5.59,0.558,0.592,0.218,0.973,0.177
C00824,Outdoor worker,18-24,21,7.15,0.744,0.998,0.337,0.799,0.2
C00825,Student,Under 18,16,4.84,0.06,0.927,0.133,0.979,0.587
C00826,Student,Under 18,16,7.14,0.652,0.593,0.896,0.736,0.006
C00827,Student,18-24,21,6.49,0.195,0.066,0.261,0.875,0.018
C00828,Elderly citizen,60+,66,4.53,0.131,0.297,0.637,0.236,0.804
C00829,Transit-dependent citizen,Under 18,16,4.58,0.789,0.363,0.639,0.935,0.798
C00830,Elderly citizen,60+,66,5.82,0.923,0.653,0.471,0.826,0.016
C00831,Student,18-24,21,5.54,0.702,0.578,0.698,0.658,0.025
C00832,Elderly citizen,60+,66,5.32,0.264,0.479,0.291,0.896,0.26
C00833,Outdoor worker,Under 18,16,7.14,0.908,0.883,0.642,0.741,0.42
C00834,Elderly citizen,60+,66,5.32,0.879,0.306,0.643,0.765,0.013
C00835,Student,18-24,21,5.12,0.691,0.91,0.438,0.903,0.144
C00836,Family / parent,45-59,52,4.73,0.077,0.477,0.327,0.948,0.305
C00837,Family / parent,35-44,39,4.4,0.417,0.844,0.54,0.972,0.13
C00838,Outdoor worker,25-34,29,7.2,0.811,0.923,0.566,0.552,0.011
C00839,Outdoor worker,18-24,21,5.82,0.925,0.833,0.439,0.494,0.094
C00840,Transit-dependent citizen,18-24,21,6.35,0.92,0.696,0.509,0.83,0.928
C00841,Elderly citizen,60+,66,6.78,0.964,0.72,0.678,0.561,0.016
C00842,Outdoor worker,25-34,29,4.2,0.913,0.096,0.789,0.81,0.181
C00843,Outdoor worker,18-24,21,4.74,0.827,0.956,0.489,0.966,0.041
C00844,Transit-dependent citizen,18-24,21,4.6,0.4,0.574,0.72,0.879,0.606
C00845,General pedestrian,45-59,52,6.03,0.443,0.244,0.696,0.62,0.073
C00846,Outdoor worker,18-24,21,3.88,0.904,0.566,0.557,0.948,0.084
C00847,Mobility-limited citizen,18-24,21,3.18,0.862,0.551,0.569,0.902,0.889
C00848,Family / parent,25-34,29,6.07,0.163,0.747,0.235,0.854,0.243
C00849,Student,18-24,21,4.05,0.146,0.915,0.693,0.699,0.135
C00850,Mobility-limited citizen,18-24,21,3.22,0.367,0.807,0.389,0.962,0.556
C00851,General pedestrian,35-44,39,5.91,0.701,0.845,0.234,0.818,0.011
C00852,Student,18-24,21,5.79,0.539,0.163,0.602,0.329,0.42
C00853,Transit-dependent citizen,18-24,21,6.15,0.73,0.905,0.495,0.875,0.937
C00854,Student,Under 18,16,4.64,0.139,0.719,0.617,0.368,0.037
C00855,Family / parent,25-34,29,6.38,0.42,0.998,0.167,0.981,0.427
C00856,Transit-dependent citizen,18-24,21,6.04,0.966,0.518,0.553,0.927,0.973
C00857,Student,Under 18,16,7.06,0.343,0.92,0.734,0.506,0.594
C00858,Student,18-24,21,5.5,0.093,0.992,0.168,0.841,0.28
C00859,Student,18-24,21,6.52,0.499,0.986,0.24,0.882,0.264
C00860,Mobility-limited citizen,Under 18,16,2.95,0.902,0.141,0.539,0.95,0.114
C00861,Transit-dependent citizen,25-34,29,4.97,0.47,0.389,0.545,0.931,0.651
C00862,Student,18-24,21,4.09,0.097,0.966,0.106,0.504,0.009
C00863,Outdoor worker,45-59,52,4.23,0.946,0.113,0.493,0.781,0.029
C00864,Transit-dependent citizen,18-24,21,6.6,0.181,0.896,0.332,0.817,0.602
C00865,Outdoor worker,18-24,21,6.79,0.96,0.615,0.665,0.891,0.002
C00866,General pedestrian,45-59,52,4.22,0.209,0.513,0.775,0.717,0.489
C00867,Outdoor worker,Under 18,16,4.79,0.85,0.302,0.464,0.813,0.474
C00868,Student,18-24,21,4.61,0.509,0.817,0.152,0.828,0.022
C00869,Student,18-24,21,4.05,0.306,0.698,0.253,0.888,0.019
C00870,Outdoor worker,18-24,21,6.25,0.793,0.887,0.47,0.816,0.028
C00871,Outdoor worker,18-24,21,6.31,0.966,0.082,0.585,0.747,0.006
C00872,General pedestrian,45-59,52,4.65,0.244,0.9,0.333,0.796,0.034
C00873,Student,Under 18,16,4.93,0.039,0.102,0.187,0.996,0.456
C00874,Student,Under 18,16,6.49,0.549,0.956,0.611,0.223,0.282
C00875,Transit-dependent citizen,Under 18,16,6.51,0.585,0.98,0.087,0.724,0.894
C00876,Family / parent,25-34,29,6.13,0.155,0.976,0.205,0.965,0.011
C00877,Transit-dependent citizen,25-34,29,6.61,0.158,0.921,0.46,0.774,0.677
C00878,General pedestrian,45-59,52,4.58,0.538,0.146,0.204,0.827,0.104
C00879,General pedestrian,25-34,29,6.37,0.573,0.867,0.529,0.481,0.393
C00880,Outdoor worker,Under 18,16,5.85,0.935,0.787,0.565,0.841,0.386
C00881,Elderly citizen,60+,66,5.17,0.73,0.049,0.384,0.929,0.001
C00882,Outdoor worker,18-24,21,6.08,0.838,0.473,0.687,0.479,0.235
C00883,Family / parent,25-34,29,3.65,0.522,0.819,0.106,0.942,0.22
C00884,Outdoor worker,18-24,21,7.07,0.761,0.368,0.345,0.415,0.003
C00885,Transit-dependent citizen,18-24,21,6.53,0.642,0.895,0.447,0.799,0.766
C00886,General pedestrian,35-44,39,6.84,0.602,0.721,0.727,0.292,0.588
C00887,Student,18-24,21,7.2,0.41,0.991,0.407,0.939,0.098
C00888,Mobility-limited citizen,45-59,52,2.74,0.584,0.762,0.462,0.988,0.007
C00889,Transit-dependent citizen,18-24,21,5.37,0.224,0.955,0.21,0.943,0.743
C00890,Student,18-24,21,5.04,0.316,1.0,0.243,0.995,0.102
C00891,Student,18-24,21,5.08,0.479,0.244,0.314,0.751,0.213
C00892,General pedestrian,45-59,52,5.73,0.444,0.454,0.469,0.831,0.256
C00893,Elderly citizen,60+,66,4.74,0.837,0.899,0.738,0.789,0.084
C00894,Student,Under 18,16,4.18,0.182,0.578,0.212,0.81,0.022
C00895,General pedestrian,25-34,29,4.58,0.397,0.984,0.517,0.805,0.034
C00896,General pedestrian,45-59,52,4.5,0.688,0.994,0.113,0.823,0.537
C00897,Student,18-24,21,3.74,0.164,0.882,0.211,0.978,0.105
C00898,Outdoor worker,Under 18,16,7.11,0.878,0.184,0.783,0.73,0.02
C00899,Outdoor worker,18-24,21,4.08,0.793,0.998,0.241,0.915,0.035
C00900,Outdoor worker,18-24,21,6.92,0.818,0.942,0.362,0.852,0.02
C00901,Family / parent,45-59,52,5.96,0.648,0.885,0.474,0.89,0.002
C00902,Elderly citizen,60+,66,6.95,0.805,0.011,0.761,0.153,0.119
C00903,Mobility-limited citizen,Under 18,16,3.07,0.516,0.981,0.107,0.995,0.233
C00904,Family / parent,25-34,29,6.37,0.572,0.648,0.214,0.955,0.056
C00905,Outdoor worker,18-24,21,6.03,0.805,0.966,0.569,0.637,0.034
C00906,Transit-dependent citizen,Under 18,16,5.52,0.39,0.992,0.504,0.993,0.942
C00907,Student,18-24,21,4.88,0.292,0.502,0.724,0.559,0.14
C00908,Family / parent,45-59,52,5.26,0.609,0.93,0.239,0.971,0.07
C00909,Family / parent,45-59,52,5.16,0.116,0.757,0.19,0.97,0.003
C00910,Transit-dependent citizen,Under 18,16,7.12,0.736,0.986,0.526,0.776,0.892
C00911,Outdoor worker,18-24,21,5.81,0.753,0.756,0.25,0.913,0.498
C00912,Student,18-24,21,5.72,0.301,0.999,0.493,0.574,0.299
C00913,Student,18-24,21,5.49,0.394,0.845,0.371,0.946,0.024
C00914,Student,18-24,21,4.04,0.52,0.016,0.241,0.955,0.008
C00915,Outdoor worker,25-34,29,6.41,0.903,0.146,0.542,0.885,0.001
C00916,Transit-dependent citizen,18-24,21,7.2,0.64,1.0,0.451,0.242,0.696
C00917,Mobility-limited citizen,18-24,21,3.22,0.176,0.076,0.58,0.944,0.644
C00918,Transit-dependent citizen,18-24,21,7.2,0.911,0.213,0.794,0.778,0.83
C00919,Outdoor worker,18-24,21,4.9,0.949,0.561,0.553,0.994,0.045
C00920,Student,Under 18,16,4.59,0.447,0.674,0.344,0.861,0.051
C00921,Student,18-24,21,5.07,0.645,0.978,0.306,0.61,0.322
C00922,Outdoor worker,18-24,21,6.52,0.987,0.945,0.524,0.745,0.396
C00923,Family / parent,45-59,52,4.99,0.704,0.986,0.35,0.868,0.019
C00924,Elderly citizen,60+,66,5.51,0.821,0.679,0.345,0.9,0.03
C00925,Outdoor worker,18-24,21,5.98,0.973,0.997,0.465,0.91,0.214
C00926,Student,18-24,21,5.94,0.488,0.97,0.441,0.323,0.561
C00927,Student,18-24,21,5.12,0.323,0.834,0.409,0.42,0.006
C00928,Transit-dependent citizen,Under 18,16,3.91,0.811,0.913,0.758,0.239,0.833
C00929,Elderly citizen,60+,66,3.39,0.227,0.148,0.276,0.99,0.605
C00930,Transit-dependent citizen,18-24,21,5.41,0.107,0.938,0.481,0.909,0.621
C00931,Student,18-24,21,5.47,0.21,0.243,0.221,0.931,0.001
C00932,Student,18-24,21,4.67,0.461,0.355,0.297,0.869,0.024
C00933,Outdoor worker,18-24,21,6.84,0.964,0.992,0.448,0.77,0.003
C00934,Student,Under 18,16,5.89,0.294,0.962,0.525,0.943,0.048
C00935,Family / parent,25-34,29,7.2,0.375,0.643,0.477,0.95,0.483
C00936,Student,Under 18,16,5.28,0.151,0.893,0.132,0.991,0.029
C00937,Student,18-24,21,5.69,0.172,0.75,0.5,0.644,0.467
C00938,Student,18-24,21,4.18,0.665,0.474,0.26,0.931,0.023
C00939,Elderly citizen,60+,66,4.97,0.885,0.142,0.612,0.81,0.055
C00940,Transit-dependent citizen,18-24,21,5.52,0.612,0.088,0.672,0.681,0.915
C00941,Student,18-24,21,6.01,0.093,0.754,0.154,0.994,0.024
C00942,Outdoor worker,18-24,21,6.67,0.926,0.388,0.865,0.59,0.396
C00943,Student,Under 18,16,4.22,0.12,0.888,0.132,0.981,0.454
C00944,Student,18-24,21,6.9,0.215,0.767,0.354,0.941,0.29
C00945,Student,Under 18,16,4.38,0.413,0.088,0.687,0.48,0.015
C00946,Family / parent,25-34,29,5.02,0.52,0.219,0.335,0.974,0.066
C00947,Student,Under 18,16,5.42,0.531,0.443,0.407,0.941,0.076
C00948,Student,18-24,21,5.71,0.229,0.981,0.121,0.923,0.026
C00949,Transit-dependent citizen,18-24,21,4.76,0.026,0.985,0.45,0.974,0.779
C00950,Transit-dependent citizen,18-24,21,6.67,0.628,0.989,0.138,0.841,0.754
C00951,Outdoor worker,18-24,21,7.09,0.935,0.918,0.391,0.73,0.024
C00952,Student,18-24,21,4.97,0.433,0.49,0.509,0.486,0.235
C00953,General pedestrian,35-44,39,6.37,0.718,0.984,0.352,0.675,0.099
C00954,Outdoor worker,Under 18,16,5.2,0.862,0.92,0.179,0.888,0.005
C00955,Outdoor worker,18-24,21,5.04,0.913,0.379,0.443,0.21,0.165
C00956,Student,18-24,21,4.93,0.703,0.062,0.69,0.242,0.498
C00957,Outdoor worker,18-24,21,6.92,0.908,0.48,0.585,0.742,0.074
C00958,Family / parent,45-59,52,5.44,0.278,0.505,0.325,0.911,0.015
C00959,Elderly citizen,60+,66,4.37,0.963,0.031,0.582,0.53,0.43
C00960,Student,18-24,21,6.06,0.622,0.718,0.614,0.794,0.455
C00961,General pedestrian,45-59,52,5.4,0.639,0.954,0.339,0.841,0.017
C00962,Student,18-24,21,7.2,0.094,0.516,0.747,0.849,0.02
C00963,Elderly citizen,60+,66,6.01,0.86,0.389,0.202,0.964,0.0
C00964,Outdoor worker,18-24,21,7.2,0.974,0.019,0.807,0.427,0.033
C00965,Family / parent,25-34,29,5.3,0.662,0.949,0.182,0.998,0.034
C00966,Student,18-24,21,6.5,0.325,0.893,0.632,0.909,0.354
C00967,Outdoor worker,45-59,52,4.22,0.984,0.929,0.588,0.455,0.251
C00968,Elderly citizen,60+,66,6.44,0.117,0.93,0.162,0.546,0.014
C00969,Student,Under 18,16,5.68,0.19,0.224,0.594,0.659,0.451
C00970,Student,18-24,21,4.88,0.336,0.014,0.643,0.812,0.552
C00971,Elderly citizen,60+,66,6.45,0.731,0.966,0.468,0.908,0.51
C00972,Transit-dependent citizen,45-59,52,4.57,0.271,0.964,0.404,0.928,0.927
C00973,Outdoor worker,45-59,52,6.21,0.926,0.995,0.18,0.647,0.015
C00974,Elderly citizen,60+,66,4.37,0.847,0.569,0.423,0.918,0.305
C00975,General pedestrian,45-59,52,6.14,0.397,0.801,0.69,0.205,0.195
C00976,Student,18-24,21,6.75,0.441,0.982,0.442,0.766,0.004
C00977,Student,18-24,21,5.1,0.057,0.99,0.163,0.959,0.526
C00978,Outdoor worker,Under 18,16,7.14,0.949,0.76,0.789,0.648,0.06
C00979,Student,18-24,21,3.93,0.262,0.924,0.304,0.741,0.197
C00980,Outdoor worker,18-24,21,4.8,0.83,0.834,0.216,0.956,0.13
C00981,Transit-dependent citizen,18-24,21,5.54,0.973,0.999,0.692,0.944,0.943
C00982,Student,18-24,21,3.85,0.091,0.472,0.114,0.934,0.028
C00983,Outdoor worker,18-24,21,7.2,0.826,0.76,0.865,0.216,0.003
C00984,Outdoor worker,18-24,21,6.02,0.805,0.077,0.64,0.669,0.038
C00985,Transit-dependent citizen,18-24,21,6.13,0.799,0.979,0.513,0.534,0.914
C00986,Student,18-24,21,6.9,0.386,0.038,0.686,0.839,0.037
C00987,Outdoor worker,18-24,21,5.07,0.761,0.704,0.382,0.907,0.069
C00988,Student,Under 18,16,6.91,0.659,0.228,0.324,0.932,0.091
C00989,Transit-dependent citizen,45-59,52,4.34,0.832,0.926,0.592,0.934,0.807
C00990,Student,Under 18,16,4.5,0.675,0.143,0.391,0.746,0.036
C00991,Student,18-24,21,3.93,0.469,0.893,0.217,0.893,0.005
C00992,General pedestrian,45-59,52,4.27,0.569,0.399,0.746,0.821,0.592
C00993,Student,18-24,21,5.49,0.289,0.123,0.297,0.614,0.078
C00994,Student,18-24,21,7.2,0.213,0.967,0.495,0.767,0.051
C00995,Student,18-24,21,5.34,0.477,0.919,0.41,0.95,0.208
C00996,Outdoor worker,45-59,52,4.11,0.9,0.802,0.92,0.831,0.365
C00997,General pedestrian,45-59,52,4.2,0.313,0.971,0.346,0.402,0.204
C00998,General pedestrian,35-44,39,4.9,0.328,0.871,0.456,0.772,0.318
C00999,General pedestrian,45-59,52,3.94,0.297,0.992,0.467,0.699,0.214
C01000,Mobility-limited citizen,18-24,21,3.58,0.397,0.014,0.507,0.875,0.063
